"","plot_id","ca","pland"
"1","ADRIANÓPOLIS",57.89960421756,23.2259543604683
"2","ALEIXO",192.674078418244,31.0668526899012
"3","ALVORADA",117.539674519431,21.1937181011591
"4","ARMANDO MENDES",30.2662703721337,9.80664499984339
"5","BETÂNIA",4.04019570480311,7.66145061131524
"6","CACHOEIRINHA",26.140276544735,13.1745200050255
"7","CENTRO",56.98978293727,13.3116456138859
"8","CHAPADA",94.5597999715691,39.0553826056714
"9","CIDADE DE DEUS",130.771317223118,19.2705888467249
"10","CIDADE NOVA",386.008338511035,27.1274154508376
"11","COLÔNIA OLIVEIRA MACHADO",17.3872391850872,12.3714644131561
"12","COLÔNIA SANTO ANTÔNIO",92.2155601405231,26.8778855147867
"13","COLÔNIA TERRA NOVA",280.707449262664,29.6613162478529
"14","COMPENSA",76.0705701247288,14.9242096626905
"15","COROADO",78.3377934817338,7.56973808740092
"16","CRESPO",15.4876411309478,14.0066314874604
"17","DA PAZ",39.2083964543438,16.2208759105696
"18","DISTRITO INDUSTRIAL I",251.446252729506,21.4614260040267
"19","DOM PEDRO I",58.4312834626457,21.1238489126116
"20","EDUCANDOS",7.29379648782251,8.7703716067192
"21","FLORES",340.199860393516,25.8756813299691
"22","GILBERTO MESTRINHO",157.98260079065,22.2804493263391
"23","GLÓRIA",11.2497521044321,22.6451634516623
"24","JAPIIM",56.4362912103237,10.2770659917088
"25","JORGE TEIXEIRA",367.12322628262,23.7446461975183
"26","LÍRIO DO VALE",16.9391626504417,7.88897576102492
"27","MAUAZINHO",136.528360626823,18.1792438178252
"28","MONTE DAS OLIVEIRAS",77.9320317454744,19.3319746484223
"29","MORRO DA LIBERDADE",8.77941771514795,12.2497065252191
"30","NOSSA SENHORA APARECIDA",14.0309143601071,20.9039199301098
"31","NOSSA SENHORA DAS GRAÇAS",36.1429283272855,17.0197134484153
"32","NOVA CIDADE",229.598042317224,21.9255315105554
"33","NOVA ESPERANÇA",30.8721333014762,20.8171159307999
"34","NOVO ALEIXO",391.408627443019,30.5774991385116
"35","NOVO ISRAEL",25.7266538166557,18.2901203659439
"36","PARQUE 10 DE NOVEMBRO",202.163145400844,24.558592326957
"37","PETRÓPOLIS",60.0792589582937,18.4682088978426
"38","PLANALTO",90.2144065702702,20.9614432278391
"39","PRAÇA 14 DE JANEIRO",11.3600184493833,11.2834619193931
"40","PRESIDENTE VARGAS",13.5665138739635,23.8353063991036
"41","RAIZ",10.9746173901965,12.7413009955638
"42","REDENÇÃO",54.2418351425813,18.0191782285065
"43","SANTA ETELVINA",211.535147342864,31.5122385414967
"44","SANTA LUZIA",2.38230544468879,8.65457716991545
"45","SANTO AGOSTINHO",24.4214458929435,16.327017123886
"46","SANTO ANTÔNIO",12.0761123137594,10.6348318355795
"47","SÃO FRANCISCO",32.779273658587,20.1353580855412
"48","SÃO GERALDO",21.3247462577862,20.3339458239552
"49","SÃO JORGE",143.156699368816,44.4742625304074
"50","SÃO JOSÉ OPERÁRIO",134.50868769289,24.6970072484724
"51","SÃO LÁZARO",11.5318625636984,14.0559106444817
"52","SÃO RAIMUNDO",21.1136325941832,18.7084990911883
"53","TANCREDO NEVES",41.2411002215856,13.495665998263
"54","TARUMÃ",317.211204197171,8.05793471445422
"55","VILA BURITI",62.504693628467,6.20253101841777
"56","VILA DA PRATA",10.9989085631676,16.5656568888775
"57","ZUMBI DOS PALMARES",42.7073522482773,16.956585800111
