terrai_cod,1985,2023,terra_nom
1901,0,15.227748618489,Ananas
2101,0,20.073854718121,Aningal
2201,0,84.086555508107,Anta
3101,0,76.019658479895,Araca
5601,0,1330.90987183133,Barata Livramento
6601,0,131.224903745865,Bom Jesus
6701,0,97.993693727088,Boqueirao
8201,0,186.052632681787,Cajueiro
8801,0,276.595265733549,Canauanim
17801,0,2036.32545483465,Jabuti
17901,0,2.594545323615,Jacamim
26101,0,28.132717241805,Malacacheta
26301,0,71.330017961175,Mangueira
26501,0,1204.3395507731,Manoa Pium
29701,0,44.228095443244,Moskow
30001,0,28.082475616929,Muriru
31501,0,16.529875044359,Ouro
36301,0,135.843235155493,Pium
36401,0,28.005203468634,Ponta da Serra
37701,0,156.980752197804,Raimundao
37901,0,1683.49374609001,Raposa Serra do Sol
41201,0,0.623877861257,Santa Inez
42401,0,178.331888071302,Serra da Moca
43301,0,1921.83833904146,Sucuba
43501,0,12.41857310709,Tabalascada
46401,0,0,Trombetas
46501,0,539.998424572216,Truaru
49501,0,0,Walmiri Atroari
49601,0,0,WaiWai
50901,0,0,Yanomami
51601,0,9.271265124339,Anaro
58401,0,2816.01310852058,Sao Marco
73708,0,0,Pirititi
