TI,Area(ha),Isolamento,Dist_Tis,Dist_Uc,Soja(ha),Anfibios,Aves,Mamiferos,Repteis,Arvores
Ananas,1769.4,Ilhada,10990.6,39104.6,15.2,0,0,0,0,0
Anaro,30474.0,Ilhada,0.0,63192.7,9.3,0,94,0,0,0
Aningal,7627.0,Ilhada,12575.9,13.2,20.1,0,0,0,0,0
Anta,3173.8,Ilhada,0.0,23011.4,84.1,0,0,0,0,0
Araca,50018.3,Ilhada,1761.5,27008.6,76.0,0,44,1,0,0
Barata Livramento,12883.3,Ilhada,0.0,28419.1,1330.9,0,0,1,0,0
Bom Jesus,859.1,Ilhada,14380.5,195016.1,131.2,0,12,0,0,0
Boqueirao,16354.1,Ilhada,0.0,9540.1,98.0,0,0,0,0,0
Cajueiro,4303.8,Ilhada,4161.9,35940.8,186.1,0,0,0,0,0
Canauanim,11182.4,Ilhada,0.0,110045.9,276.6,0,0,0,0,0
Jaboti,14210.7,Ilhada,0.0,131221.0,2036.3,0,6,0,0,0
Jacamim,193493.6,Ilhada,0.0,184881.1,2.6,0,0,0,0,0
Malacacheta,28631.8,Ilhada,0.0,111100.9,28.1,0,2,0,0,0
Mangueira,4063.7,Ilhada,0.0,4351.0,71.3,0,0,7,3,0
Manoa/Pium,43336.7,Ilhada,0.0,147980.3,1204.3,0,2,0,0,0
Moskow,14213.0,Ilhada,0.0,146487.5,44.2,0,0,0,0,0
Muriru,5555.9,Ilhada,9986.9,149784.6,28.1,0,0,0,0,0
Ouro,13573.0,Ilhada,0.0,71386.4,16.5,0,2,0,0,0
Pirititi,40095.0,Ilhada,0.0,47092.4,0.0,0,0,0,0,0
Pium,4607.6,Ilhada,0.0,27260.9,135.8,0,3,0,0,0
Ponta da Serra,15597.1,Ilhada,0.0,53229.9,28.0,0,0,0,0,0
Raimundao,4276.8,Ilhada,12830.0,21037.5,157.0,0,0,0,0,0
Raposa Serra do Sol,1747464.8,Continua,0.0,0.0,1683.5,38,435,8,24,330
Sao Marcos,654110.1,Continua,0.0,59472.8,2816.0,13,276,1,58,259
Santa Inez,29698.0,Ilhada,2077.8,60374.0,0.6,0,0,0,0,0
Serra da Moca,11626.8,Ilhada,3287.9,71346.4,178.3,0,0,0,1,0
Sucuba,5983.0,Ilhada,12691.7,35977.5,1921.8,0,0,0,0,60
Tabalascada,13014.7,Ilhada,0.0,104788.6,12.4,1,32,0,1,0
Trombetas/Mapuera,3970898.0,Ilhada,0.0,90525.8,0.0,0,0,1,0,0
Truaru,5652.8,Ilhada,0.0,41400.2,540.0,0,0,0,2,0
Waimiri-Atroari,2585911.6,Ilhada,0.0,0.0,0.0,1,41,16,7,0
WaiWai,405698.0,Ilhada,0.0,76564.8,0.0,0,233,0,1,0
Yanomami,9664975.5,Continua,57487.5,0.0,0.0,12,237,6,12,980
