value,count,m2,hectare
"0.00000000","811812448","725179488136.58422852","72517949"
"3.00000000","86433060","77209314002.63360596","7720931"
"4.00000000","55714","49768453.41750864","4977"
"6.00000000","2535875","2265257867.14514685","226526"
"9.00000000","197","175977.04927396","18"
"11.00000000","2269875","2027644186.39960194","202764"
"12.00000000","21635791","19326917050.19299698","1932692"
"15.00000000","651558","582026671.42558587","58203"
"24.00000000","12098","10806956.05135190","1081"
"25.00000000","724","646737.98819464","65"
"29.00000000","1165091","1040757747.79514229","104076"
"30.00000000","35798","31977799.03507151","3198"
"33.00000000","353990","316213785.13953197","31621"
"35.00000000","269","240293.53428779","24"
"39.00000000","44029","39330423.87047220","3933"
"41.00000000","164533","146974780.95528859","14697"
